id,date,name,category,weight,calories,protein,carb,fat
988,2024-04-22,POTATO,LUNCH,200.0,148.0,4.28,36.2,0.16
988,2024-04-22,SALMON,DINNER,150.0,274.5,30.45,0.0,19.65
988,2024-04-22,EGG,BREAKFAST,100.0,143.0,12.6,0.72,9.51
988,2024-04-22,CHICKEN THIGH,DINNER,150.0,268.5,27.9,0.0,11.88
988,2024-04-23,POTATO,SNACK,200.0,148.0,4.28,36.2,0.16
988,2024-04-23,POTATO,SNACK,50.0,37.0,1.07,9.05,0.04
988,2024-04-23,SALMON,SNACK,100.0,183.0,20.3,0.0,13.1
5746,2024-04-23,SALMON,DINNER,150.0,274.5,30.45,0.0,19.65
5746,2024-04-23,RICE,DINNER,100.0,346.0,7.9,77.2,0.9
5746,2024-04-23,AVOCADO,BREAKFAST,60.0,96.0,1.2,5.12,8.82
988,2024-04-23,SALMON,DINNER,100.0,183.0,20.3,0.0,13.1
988,2024-04-23,AVOCADO,BREAKFAST,60.0,96.0,1.2,5.12,8.82
988,2024-04-23,POTATO,SNACK,50.0,37.0,1.07,9.05,0.04
